geneID,6-7 internode,7-8 internode,B73 Mature Pollen,Ear Primordium 2-4 mm,Ear Primordium 6-8 mm,Embryo 20 DAP,Embryo 38 DAP,Endosperm 12 DAP,Endosperm Crown 27 DAP,Female Spikelet Collected on day as silk,Germinatin Kernels 2 DAI,Leaf Zone 1 (Symmetrical),Leaf Zone 2 (Stomatal),Leaf Zone 3 (Growth),Mature Leaf 8,Pericarp/Aleurone 27 DAP,Primary Root 5 Days,Root - Cortex 5 Days,Root - Elongation Zone 5 Days,Root - Meristem Zone 5 Days,Secondary Root 7-8 Days,Silk,Vegetative Meristem 16-19 Day
Zm00001d045987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.35590698,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zm00001d045988,NA,NA,NA,NA,NA,1021.760502,5373.088525,NA,1330.981665,NA,2349.319418,NA,NA,NA,NA,2859.323628,190.7071201,99.97730632,74.6648407,74.02845541,NA,NA,NA
Zm00001d046004,NA,NA,NA,NA,NA,NA,NA,NA,83.18635405,40.87514166,NA,NA,NA,NA,9.235165876,350.1319403,63.59988124,570.9819057,68.51285228,14.91198549,227.33651,390.3092859,NA
Zm00001d046014,NA,NA,351.5810569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zm00001d046020,54.96270654,62.74452245,177.8577933,46.23066601,18.40443245,76.9470936,28.25829015,105.8213842,36.83528422,87.15426601,38.82420765,52.11681903,55.60553701,32.84506566,22.69517713,69.12427539,78.93073514,33.75441149,NA,32.33843051,157.4406786,24.20666541,66.69216399
Zm00001d046023,NA,389.6037384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,401.2498111,144.2559485
Zm00001d046033,198.1647179,152.4437435,58.10121826,340.2857289,347.6119638,100.0328716,47.15706666,107.9633463,61.24194765,123.1583552,192.2710256,261.8452318,227.5445707,270.1336979,62.21079351,119.6107959,102.0762777,151.2656101,209.3836432,290.0916014,117.9591886,110.7229501,241.7634924
Zm00001d046039,NA,NA,NA,NA,NA,17.7936812,NA,NA,NA,NA,NA,NA,10.43368636,33.19292065,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zm00001d046047,NA,NA,NA,NA,NA,NA,NA,68.41215466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zm00001d046055,NA,NA,NA,NA,NA,NA,NA,NA,811.5836948,NA,NA,NA,NA,NA,NA,181.0637063,NA,NA,NA,NA,NA,NA,NA
Zm00001d046068,NA,NA,121.4569585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zm00001d046072,26.19055447,NA,NA,53.22560767,55.21596377,70.56692061,NA,NA,NA,NA,NA,20.2987996,13.0778304,14.81036906,NA,NA,NA,NA,NA,NA,NA,NA,16.98245108
Zm00001d046073,NA,NA,17.43276406,37.05062679,19.57871828,112.5494726,28.17099975,33.24639667,NA,NA,NA,NA,NA,NA,NA,115.8136289,NA,NA,NA,NA,NA,NA,NA
Zm00001d046097,104.5405224,105.7806805,13.83317569,407.2186626,641.8114855,288.6917345,142.7965552,163.4053027,44.45730482,173.2933323,178.452907,278.8467026,298.5679795,222.6679911,7.334578054,123.7784105,236.3817282,84.55185414,308.4963832,769.6194251,237.0124605,26.19306909,164.1245272
Zm00001d046112,73.00985677,42.25037931,NA,NA,NA,NA,78.72514145,NA,NA,111.9715181,NA,NA,NA,NA,187.805253,73.48580402,88.99099434,192.4346551,NA,NA,155.8257256,55.35653355,17.33183903
Zm00001d046120,4296.548833,2602.329626,2531.625575,1010.009831,2197.027522,3686.747772,1251.113873,3407.390235,4503.300747,1951.491765,740.4869685,1180.781357,1509.464456,1492.799351,2201.828833,4910.968577,2165.795328,1753.754388,1863.231268,1543.735065,2532.172912,794.008287,3809.991191
Zm00001d046135,135.265381,142.7027693,294.8657466,394.3275911,240.2378346,928.2451907,305.9713242,141.3304119,169.3926926,657.1380975,715.569889,382.1316749,262.6023746,254.8132722,323.0566995,92.27460779,197.2976226,346.8727173,581.5255928,465.0742615,50.00757307,195.4217943,196.1852794
